enum_name,enum_value
audit_action,user_created
audit_action,user_suspended
audit_action,user_reactivated
audit_action,kyc_submitted
audit_action,kyc_approved
audit_action,kyc_rejected
audit_action,coupon_created
audit_action,coupon_expired
audit_action,coupon_sold
audit_action,transaction_created
audit_action,transaction_refunded
audit_action,admin_action
coupon_status,available
coupon_status,sold
coupon_status,expired
kyc_status,pending
kyc_status,submitted
kyc_status,approved
kyc_status,rejected
ledger_entry_type,buyer_fee
ledger_entry_type,refund
ledger_entry_type,adjustment
transaction_status,pending
transaction_status,completed
transaction_status,failed
transaction_status,refunded
user_role,user
user_role,admin